id,value
Carrier,
Carrier.B6,
Carrier.B6.cancelA,78
Carrier.B6.cancelB,0
Carrier.B6.cancelC,145
Carrier.B6.cancelD,0
Carrier.EV,
Carrier.EV.cancelA,321
Carrier.EV.cancelB,0
Carrier.EV.cancelC,569
Carrier.EV.cancelD,0
Carrier.FL,
Carrier.FL.cancelA,0
Carrier.FL.cancelB,0
Carrier.FL.cancelC,0
Carrier.FL.cancelD,0
Carrier.AA,
Carrier.AA.cancelA,222
Carrier.AA.cancelB,0
Carrier.AA.cancelC,97
Carrier.AA.cancelD,0
Carrier.US,
Carrier.US.cancelA,162
Carrier.US.cancelB,0
Carrier.US.cancelC,133
Carrier.US.cancelD,0
Carrier.F9,
Carrier.F9.cancelA,38
Carrier.F9.cancelB,0
Carrier.F9.cancelC,0
Carrier.F9.cancelD,0
Carrier.CO,
Carrier.CO.cancelA,0
Carrier.CO.cancelB,0
Carrier.CO.cancelC,0
Carrier.CO.cancelD,0
Carrier.YV,
Carrier.YV.cancelA,0
Carrier.YV.cancelB,0
Carrier.YV.cancelC,0
Carrier.YV.cancelD,0
Carrier.WN,
Carrier.WN.cancelA,855
Carrier.WN.cancelB,0
Carrier.WN.cancelC,84
Carrier.WN.cancelD,0
Carrier.AS,
Carrier.AS.cancelA,48
Carrier.AS.cancelB,0
Carrier.AS.cancelC,0
Carrier.AS.cancelD,0
Carrier.NK,
Carrier.NK.cancelA,221
Carrier.NK.cancelB,0
Carrier.NK.cancelC,63
Carrier.NK.cancelD,0
Carrier.UA,
Carrier.UA.cancelA,846
Carrier.UA.cancelB,0
Carrier.UA.cancelC,77
Carrier.UA.cancelD,0
Carrier.HA,
Carrier.HA.cancelA,10
Carrier.HA.cancelB,0
Carrier.HA.cancelC,0
Carrier.HA.cancelD,0
Carrier.VX,
Carrier.VX.cancelA,15
Carrier.VX.cancelB,0
Carrier.VX.cancelC,4
Carrier.VX.cancelD,0
Carrier.MQ,
Carrier.MQ.cancelA,221
Carrier.MQ.cancelB,0
Carrier.MQ.cancelC,810
Carrier.MQ.cancelD,0
Carrier.XE,
Carrier.XE.cancelA,0
Carrier.XE.cancelB,0
Carrier.XE.cancelC,0
Carrier.XE.cancelD,0
Carrier.DL,
Carrier.DL.cancelA,93
Carrier.DL.cancelB,0
Carrier.DL.cancelC,18
Carrier.DL.cancelD,0
Carrier.9E,
Carrier.9E.cancelA,0
Carrier.9E.cancelB,0
Carrier.9E.cancelC,0
Carrier.9E.cancelD,0
Carrier.OO,
Carrier.OO.cancelA,489
Carrier.OO.cancelB,0
Carrier.OO.cancelC,176
Carrier.OO.cancelD,0
