YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN,DEST,ARR_DELAY_NEW,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,CANCELLED,CANCELLATION_CODE
2016,9,26,1,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,27,2,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,28,3,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,29,4,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,30,5,HA,LAS,HNL,6,0,0,0,0,0,0,
2016,9,1,4,HA,HNL,LAS,0,0,0,0,0,0,0,
2016,9,2,5,HA,HNL,LAS,0,0,0,0,0,0,0,
2016,9,1,4,HA,LAX,HNL,15,0,0,15,0,0,0,
2016,9,2,5,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,3,6,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,4,7,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,5,1,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,6,2,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,7,3,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,8,4,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,9,5,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,10,6,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,11,7,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,12,1,HA,LAX,HNL,3,0,0,0,0,0,0,
2016,9,13,2,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,14,3,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,15,4,HA,LAX,HNL,31,31,0,0,0,0,0,
2016,9,16,5,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,17,6,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,18,7,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,19,1,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,20,2,HA,LAX,HNL,12,0,0,0,0,0,0,
2016,9,21,3,HA,LAX,HNL,164,164,0,0,0,0,0,
2016,9,22,4,HA,LAX,HNL,8,0,0,0,0,0,0,
2016,9,23,5,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,24,6,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,25,7,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,26,1,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,27,2,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,28,3,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,29,4,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,30,5,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,1,4,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,2,5,HA,HNL,LAX,7,0,0,0,0,0,0,
2016,9,3,6,HA,HNL,LAX,33,33,0,0,0,0,0,
2016,9,4,7,HA,HNL,LAX,30,30,0,0,0,0,0,
2016,9,5,1,HA,HNL,LAX,35,35,0,0,0,0,0,
2016,9,6,2,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,7,3,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,8,4,HA,HNL,LAX,1,0,0,0,0,0,0,
2016,9,9,5,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,10,6,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,11,7,HA,HNL,LAX,32,32,0,0,0,0,0,
2016,9,12,1,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,13,2,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,14,3,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,15,4,HA,HNL,LAX,6,0,0,0,0,0,0,
2016,9,16,5,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,17,6,HA,HNL,LAX,9,0,0,0,0,0,0,
2016,9,18,7,HA,HNL,LAX,11,0,0,0,0,0,0,
2016,9,19,1,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,20,2,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,21,3,HA,HNL,LAX,3,0,0,0,0,0,0,
2016,9,22,4,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,23,5,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,24,6,HA,HNL,LAX,4,0,0,0,0,0,0,
2016,9,25,7,HA,HNL,LAX,3,0,0,0,0,0,0,
2016,9,26,1,HA,HNL,LAX,1,0,0,0,0,0,0,
2016,9,27,2,HA,HNL,LAX,3,0,0,0,0,0,0,
2016,9,28,3,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,29,4,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,30,5,HA,HNL,LAX,22,0,0,0,22,0,0,
2016,9,1,4,HA,LAX,HNL,9,0,0,0,0,0,0,
2016,9,2,5,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,3,6,HA,LAX,HNL,9,0,0,0,0,0,0,
2016,9,4,7,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,5,1,HA,LAX,HNL,24,24,0,0,0,0,0,
2016,9,6,2,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,7,3,HA,LAX,HNL,30,30,0,0,0,0,0,
2016,9,8,4,HA,LAX,HNL,19,17,0,2,0,0,0,
2016,9,9,5,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,10,6,HA,LAX,HNL,5,0,0,0,0,0,0,
2016,9,11,7,HA,LAX,HNL,6,0,0,0,0,0,0,
2016,9,12,1,HA,LAX,HNL,34,34,0,0,0,0,0,
2016,9,13,2,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,14,3,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,15,4,HA,LAX,HNL,49,49,0,0,0,0,0,
2016,9,16,5,HA,LAX,HNL,45,45,0,0,0,0,0,
2016,9,17,6,HA,LAX,HNL,9,0,0,0,0,0,0,
2016,9,18,7,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,19,1,HA,LAX,HNL,162,162,0,0,0,0,0,
2016,9,20,2,HA,LAX,HNL,119,119,0,0,0,0,0,
2016,9,21,3,HA,LAX,HNL,40,40,0,0,0,0,0,
2016,9,22,4,HA,LAX,HNL,39,39,0,0,0,0,0,
2016,9,23,5,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,24,6,HA,LAX,HNL,8,0,0,0,0,0,0,
2016,9,25,7,HA,LAX,HNL,102,102,0,0,0,0,0,
2016,9,26,1,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,27,2,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,28,3,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,29,4,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,30,5,HA,LAX,HNL,0,0,0,0,0,0,0,
2016,9,1,4,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,2,5,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,3,6,HA,HNL,LAX,7,0,0,0,0,0,0,
2016,9,4,7,HA,HNL,LAX,4,0,0,0,0,0,0,
2016,9,5,1,HA,HNL,LAX,15,15,0,0,0,0,0,
2016,9,6,2,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,7,3,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,8,4,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,9,5,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,10,6,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,11,7,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,12,1,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,13,2,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,14,3,HA,HNL,LAX,24,24,0,0,0,0,0,
2016,9,15,4,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,16,5,HA,HNL,LAX,1,0,0,0,0,0,0,
2016,9,17,6,HA,HNL,LAX,4,0,0,0,0,0,0,
2016,9,18,7,HA,HNL,LAX,5,0,0,0,0,0,0,
2016,9,19,1,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,20,2,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,21,3,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,22,4,HA,HNL,LAX,17,17,0,0,0,0,0,
2016,9,23,5,HA,HNL,LAX,2,0,0,0,0,0,0,
2016,9,24,6,HA,HNL,LAX,13,0,0,0,0,0,0,
2016,9,25,7,HA,HNL,LAX,6,0,0,0,0,0,0,
2016,9,26,1,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,27,2,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,28,3,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,29,4,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,30,5,HA,HNL,LAX,0,0,0,0,0,0,0,
2016,9,2,5,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,4,7,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,7,3,HA,LAS,HNL,1,0,0,0,0,0,0,
2016,9,9,5,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,11,7,HA,LAS,HNL,3,0,0,0,0,0,0,
2016,9,14,3,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,16,5,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,18,7,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,21,3,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,23,5,HA,LAS,HNL,31,0,0,0,0,31,0,
2016,9,25,7,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,28,3,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,30,5,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,2,5,HA,HNL,LAS,0,0,0,0,0,0,0,
2016,9,4,7,HA,HNL,LAS,12,0,0,0,0,0,0,
2016,9,7,3,HA,HNL,LAS,22,22,0,0,0,0,0,
2016,9,9,5,HA,HNL,LAS,2,0,0,0,0,0,0,
2016,9,11,7,HA,HNL,LAS,0,0,0,0,0,0,0,
2016,9,14,3,HA,HNL,LAS,0,0,0,0,0,0,0,
2016,9,16,5,HA,HNL,LAS,0,0,0,0,0,0,0,
2016,9,18,7,HA,HNL,LAS,18,18,0,0,0,0,0,
2016,9,21,3,HA,HNL,LAS,1,0,0,0,0,0,0,
2016,9,23,5,HA,HNL,LAS,43,43,0,0,0,0,0,
2016,9,25,7,HA,HNL,LAS,0,0,0,0,0,0,0,
2016,9,28,3,HA,HNL,LAS,0,0,0,0,0,0,0,
2016,9,30,5,HA,HNL,LAS,0,0,0,0,0,0,0,
2016,9,1,4,HA,LAS,HNL,3,0,0,0,0,0,0,
2016,9,2,5,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,3,6,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,4,7,HA,LAS,HNL,316,316,0,0,0,0,0,
2016,9,5,1,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,6,2,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,7,3,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,8,4,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,9,5,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,10,6,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,11,7,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,12,1,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,13,2,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,14,3,HA,LAS,HNL,90,90,0,0,0,0,0,
2016,9,15,4,HA,LAS,HNL,37,37,0,0,0,0,0,
2016,9,16,5,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,17,6,HA,LAS,HNL,0,0,0,0,0,0,0,
2016,9,18,7,HA,LAS,HNL,11,0,0,0,0,0,0,
