Origin,Destination,Carrier,Month,Delay Percentage,Total Flights,Delay Flights,Total Delay Time(min),Carrier Delay,Weather Delay,NAS Delay,Security Delay,Aircraft Delay
EWR,CLT,UA,6,63%,8,5,219,39,0,121,0,59
EWR,DCA,UA,6,100%,1,1,24,24,0,0,0,0
EWR,DEN,UA,6,45%,1137,514,22711,7657,932,4732,0,9390
EWR,DFW,UA,6,42%,488,204,9318,2936,498,2112,0,3772
EWR,DTW,UA,6,0%,4,0,0,0,0,0,0,0
EWR,FLL,UA,6,42%,886,375,15656,4943,679,3149,15,6870
EWR,HNL,UA,6,35%,150,52,2006,1197,367,314,0,128
EWR,IAD,UA,6,49%,37,18,822,174,0,328,0,320
EWR,IAH,UA,6,45%,1592,715,28439,11208,1368,6724,11,9128
EWR,LAS,UA,6,37%,838,307,12612,4006,790,2302,0,5514
EWR,LAX,UA,6,55%,1834,1004,39145,15594,726,9175,0,13650
EWR,MCO,UA,6,38%,1293,494,20111,6847,766,4123,0,8375
EWR,MIA,UA,6,45%,548,249,12950,3575,413,2384,0,6578
EWR,MSP,UA,6,45%,119,54,3428,1381,39,375,0,1633
EWR,ORD,UA,6,42%,1716,728,35519,10038,1260,12544,0,11677
EWR,PDX,UA,6,44%,226,99,4692,1511,157,898,0,2126
EWR,PHX,UA,6,39%,424,165,5826,2772,441,779,0,1834
EWR,SAN,UA,6,38%,533,203,7797,2572,531,2040,0,2654
EWR,SEA,UA,6,48%,539,260,10389,3213,826,2692,0,3658
EWR,SFO,UA,6,52%,2208,1151,47584,16666,1559,13652,0,15707
EWR,TPA,UA,6,42%,775,328,14360,4469,228,3250,5,6408
FLL,DEN,UA,6,40%,151,60,2492,489,177,532,0,1294
FLL,EWR,UA,6,36%,887,320,17129,2487,379,8688,0,5575
FLL,IAD,UA,6,67%,30,20,1665,141,81,232,0,1211
FLL,IAH,UA,6,33%,687,228,9226,1644,321,2813,0,4448
FLL,ORD,UA,6,31%,207,65,2761,393,178,951,0,1239
FLL,SFO,UA,6,47%,120,56,2513,348,81,1255,0,829
HNL,DEN,UA,6,38%,184,69,1914,964,0,297,0,653
HNL,EWR,UA,6,31%,150,47,1565,535,0,101,0,929
HNL,IAD,UA,6,28%,144,40,869,517,0,53,0,299
HNL,IAH,UA,6,45%,149,67,2195,1872,0,130,0,193
HNL,LAX,UA,6,42%,985,418,12548,4904,0,2455,0,5189
HNL,ORD,UA,6,55%,180,99,2261,1051,0,605,0,605
HNL,SFO,UA,6,39%,894,346,10429,3676,18,1404,0,5331
IAD,ATL,UA,6,19%,27,5,272,272,0,0,0,0
IAD,BOS,UA,6,46%,694,320,16124,4603,1350,4826,0,5345
IAD,DEN,UA,6,42%,1448,605,29237,10481,3018,7997,0,7741
IAD,DFW,UA,6,42%,163,68,4221,817,241,827,0,2336
IAD,DTW,UA,6,0%,3,0,0,0,0,0,0,0
IAD,EWR,UA,6,56%,34,19,1515,25,432,400,0,658
IAD,FLL,UA,6,47%,30,14,926,142,67,109,0,608
IAD,HNL,UA,6,38%,143,55,2418,1689,0,207,0,522
IAD,IAH,UA,6,48%,587,281,13491,3218,1109,3568,0,5596
IAD,LAS,UA,6,40%,362,146,6564,1976,468,1330,0,2790
IAD,LAX,UA,6,55%,1495,827,34560,10978,3650,10594,0,9338
IAD,MCO,UA,6,47%,720,338,14400,4829,625,4015,0,4931
IAD,MIA,UA,6,0%,1,0,0,0,0,0,0,0
IAD,MSP,UA,6,33%,3,1,0,0,0,0,0,0
IAD,ORD,UA,6,42%,1187,501,23494,7209,1202,8429,0,6654
IAD,PDX,UA,6,59%,180,106,7002,1782,1098,2829,0,1293
IAD,PHX,UA,6,60%,181,109,5621,1394,666,1344,0,2217
IAD,SAN,UA,6,43%,540,233,10360,3174,1085,3131,0,2970
IAD,SEA,UA,6,42%,539,227,10917,3431,918,3138,0,3430
IAD,SFO,UA,6,46%,1727,799,32136,9101,2018,10068,0,10949
IAD,SLC,UA,6,56%,87,49,2802,740,515,954,0,593
IAD,TPA,UA,6,46%,534,248,9853,2983,860,2401,0,3609
IAH,ATL,UA,6,57%,217,123,5128,1790,182,1837,0,1319
IAH,BOS,UA,6,43%,816,347,14543,3888,1214,4058,0,5383
IAH,BWI,UA,6,45%,402,179,7671,1979,207,2544,0,2941
IAH,CLT,UA,6,56%,9,5,344,44,13,0,0,287
IAH,DCA,UA,6,39%,1023,401,18632,5608,725,5771,0,6528
IAH,DEN,UA,6,49%,1676,819,30688,9939,2004,6091,0,12654
IAH,DFW,UA,6,48%,280,134,7383,1989,738,1585,0,3071
IAH,DTW,UA,6,40%,108,43,1837,998,154,296,0,389
IAH,EWR,UA,6,46%,1570,721,32679,8927,1337,11809,0,10606
IAH,FLL,UA,6,40%,687,277,10718,3060,1049,2003,0,4606
IAH,HNL,UA,6,53%,150,80,3850,2690,84,450,0,626
IAH,IAD,UA,6,46%,645,295,12464,3886,381,3434,0,4763
IAH,LAS,UA,6,46%,1054,489,18719,6129,1343,2383,0,8864
IAH,LAX,UA,6,60%,1965,1170,41721,15280,2614,8377,14,15436
IAH,LGA,UA,6,45%,1158,520,26883,4014,1149,15360,0,6360
IAH,MCO,UA,6,42%,1013,424,19417,6327,1410,3295,0,8385
IAH,MIA,UA,6,42%,472,197,7082,2357,265,1080,0,3380
IAH,MSP,UA,6,48%,60,29,1827,190,154,154,0,1329
IAH,ORD,UA,6,51%,1931,987,38023,11139,2372,11681,0,12831
IAH,PDX,UA,6,50%,457,230,8299,2932,685,1079,0,3603
IAH,PHL,UA,6,43%,552,236,11448,2742,1046,4147,0,3513
IAH,PHX,UA,6,52%,637,329,11525,4348,629,1283,0,5265
IAH,SAN,UA,6,54%,895,479,15791,5607,1226,2302,0,6656
IAH,SEA,UA,6,54%,1003,544,18200,6429,1555,3289,0,6927
IAH,SFO,UA,6,57%,1559,890,34234,10785,1680,8931,0,12838
IAH,SLC,UA,6,53%,188,100,4275,1882,104,627,0,1662
IAH,TPA,UA,6,41%,718,292,13211,4055,1075,1980,0,6101
JFK,LAX,UA,6,36%,856,309,12159,3384,212,5039,128,3396
JFK,SFO,UA,6,38%,1039,398,16479,3063,664,9435,144,3173
LAS,DEN,UA,6,33%,738,247,9315,2188,240,1797,0,5090
LAS,EWR,UA,6,40%,851,337,13895,3612,288,3862,75,6058
LAS,IAD,UA,6,39%,418,165,6094,2367,36,1243,0,2448
LAS,IAH,UA,6,35%,1061,368,14531,3089,527,2730,0,8185
LAS,LAX,UA,6,44%,491,216,7431,1726,21,1341,0,4343
LAS,ORD,UA,6,40%,773,308,9430,2363,145,2478,0,4444
LAS,SFO,UA,6,42%,1313,545,26192,4728,239,9065,0,12160
LAX,BOS,UA,6,42%,351,146,4280,1228,28,603,0,2421
LAX,BWI,UA,6,46%,306,140,5092,1745,0,990,54,2303
LAX,DEN,UA,6,44%,1386,609,20543,6611,251,3136,0,10545
LAX,DFW,UA,6,50%,2,1,211,24,0,0,0,187
LAX,EWR,UA,6,49%,1808,888,32313,11900,140,7149,21,13103
LAX,HNL,UA,6,46%,985,451,18348,7393,0,1528,88,9339
LAX,IAD,UA,6,46%,1385,635,20752,8293,99,4026,0,8334
LAX,IAH,UA,6,47%,1958,924,30090,11582,153,4566,0,13789
LAX,JFK,UA,6,36%,856,309,15133,3098,48,7877,0,4110
LAX,LAS,UA,6,37%,571,209,7160,3508,0,494,11,3147
LAX,MCO,UA,6,42%,318,132,4237,1714,0,432,0,2091
LAX,ORD,UA,6,50%,2191,1094,37767,15173,96,7413,0,15085
LAX,PHL,UA,6,39%,56,22,798,163,0,110,0,525
LAX,PHX,UA,6,23%,35,8,206,107,0,6,0,93
LAX,SEA,UA,6,65%,34,22,605,438,0,83,0,84
LAX,SFO,UA,6,48%,2289,1100,44128,10699,0,14972,27,18430
LGA,DEN,UA,6,35%,879,309,15009,3902,1714,3358,0,6035
LGA,IAH,UA,6,40%,1166,469,20898,3842,1658,6228,0,9170
LGA,ORD,UA,6,38%,1978,758,46365,9515,1994,14728,0,20128
MCO,DEN,UA,6,43%,590,253,13083,4236,1616,1704,0,5527
MCO,EWR,UA,6,39%,1290,504,27764,6743,3067,9831,0,8123
MCO,IAD,UA,6,42%,720,303,13512,2376,2329,3363,0,5444
MCO,IAH,UA,6,44%,1013,444,19883,4549,2936,4125,5,8268
MCO,LAX,UA,6,60%,314,188,8397,1238,1301,1129,0,4729
MCO,ORD,UA,6,42%,983,413,20216,3216,3209,5124,0,8667
MCO,SFO,UA,6,45%,420,188,9085,3235,1357,1665,7,2821
MIA,EWR,UA,6,34%,547,186,10306,2054,400,3338,0,4514
MIA,IAH,UA,6,37%,471,174,6738,1652,311,1816,0,2959
MIA,ORD,UA,6,21%,47,10,431,254,0,29,0,148
MSP,DEN,UA,6,28%,371,104,2874,808,17,741,0,1308
MSP,EWR,UA,6,38%,104,40,2225,268,32,1399,0,526
MSP,IAD,UA,6,100%,3,3,72,0,0,72,0,0
MSP,IAH,UA,6,12%,52,6,589,418,0,29,0,142
MSP,ORD,UA,6,44%,754,332,13585,2214,166,5147,0,6058
MSP,SFO,UA,6,56%,142,79,4611,760,145,1846,0,1860
ORD,ATL,UA,6,37%,356,132,6055,2001,424,1650,0,1980
ORD,BOS,UA,6,53%,1315,691,30803,9429,1321,5947,0,14106
ORD,BWI,UA,6,45%,504,229,10764,3087,786,2257,0,4634
ORD,CLT,UA,6,38%,173,66,3131,1024,286,293,0,1528
ORD,DCA,UA,6,46%,1738,799,39987,8870,2044,11296,0,17777
ORD,DEN,UA,6,53%,1740,921,40752,12530,1938,7200,0,19084
ORD,DFW,UA,6,43%,340,147,7144,2273,557,943,0,3371
ORD,DTW,UA,6,60%,140,84,4033,1078,391,471,0,2093
ORD,EWR,UA,6,53%,1899,1002,51481,13255,3564,17833,41,16788
ORD,FLL,UA,6,39%,205,79,3183,974,116,287,0,1806
ORD,HNL,UA,6,49%,180,88,2389,1585,86,486,0,232
ORD,IAD,UA,6,52%,1115,583,28535,8758,1461,5394,0,12922
ORD,IAH,UA,6,54%,1885,1018,41182,14097,2549,8131,44,16361
ORD,LAS,UA,6,43%,760,330,13330,4522,640,1910,0,6258
ORD,LAX,UA,6,59%,2015,1196,51660,16486,2810,8627,23,23714
ORD,LGA,UA,6,50%,1943,962,49368,7809,1901,25146,0,14512
ORD,MCO,UA,6,50%,980,488,20978,6722,876,3450,0,9930
ORD,MIA,UA,6,42%,45,19,849,199,201,72,0,377
ORD,MSP,UA,6,49%,741,364,16710,5253,954,2330,0,8173
ORD,PDX,UA,6,50%,852,429,20684,5948,1301,2341,0,11094
ORD,PHL,UA,6,53%,731,387,20234,4607,1260,6703,0,7664
ORD,PHX,UA,6,50%,469,234,9566,2879,424,1526,17,4720
ORD,SAN,UA,6,48%,751,364,14462,5240,1020,1945,6,6251
ORD,SEA,UA,6,54%,1037,563,24132,7420,1434,2825,0,12453
ORD,SFO,UA,6,54%,2638,1423,61579,18991,3269,15772,0,23547
ORD,SLC,UA,6,38%,92,35,928,555,0,161,0,212
ORD,TPA,UA,6,51%,546,280,13221,3821,349,2025,0,7026
PDX,DEN,UA,6,23%,682,160,7533,2108,0,869,0,4556
PDX,EWR,UA,6,33%,231,77,2628,406,0,335,0,1887
PDX,IAD,UA,6,28%,185,52,1175,816,0,242,0,117
PDX,IAH,UA,6,37%,457,169,4030,1025,0,675,8,2322
PDX,ORD,UA,6,31%,850,266,8346,1766,0,2355,0,4225
PDX,SFO,UA,6,40%,891,360,14283,2501,0,6793,0,4989
PHL,DEN,UA,6,43%,337,146,7318,1109,636,1293,7,4273
PHL,IAH,UA,6,43%,549,234,11571,2670,239,2383,21,6258
PHL,LAX,UA,6,32%,59,19,781,90,0,580,0,111
PHL,ORD,UA,6,41%,753,312,15833,4610,1523,5340,0,4360
PHL,SFO,UA,6,43%,456,194,12265,3062,757,3218,16,5212
PHX,DEN,UA,6,29%,441,130,4479,1510,0,1410,0,1559
PHX,EWR,UA,6,42%,420,175,5914,1434,135,1754,0,2591
PHX,IAD,UA,6,30%,183,54,1008,586,28,356,0,38
PHX,IAH,UA,6,27%,660,178,7405,2269,0,2598,0,2538
PHX,LAX,UA,6,50%,36,18,163,26,0,137,0,0
PHX,ORD,UA,6,46%,471,218,9053,2094,90,2856,0,4013
PHX,SFO,UA,6,36%,259,93,4806,1185,0,1637,0,1984
SAN,DEN,UA,6,31%,578,180,6063,1359,100,1532,0,3072
SAN,EWR,UA,6,41%,533,218,6447,1421,11,2125,0,2890
SAN,IAD,UA,6,31%,539,168,4417,1362,85,1158,8,1804
SAN,IAH,UA,6,31%,779,239,6862,1481,123,1350,33,3875
SAN,ORD,UA,6,39%,704,276,8144,2051,62,2466,8,3557
SAN,SFO,UA,6,37%,1183,436,16626,2018,0,5758,0,8850
SEA,DEN,UA,6,34%,834,285,11603,5180,75,970,15,5363
SEA,EWR,UA,6,44%,556,243,7720,1660,0,2443,0,3617
SEA,IAD,UA,6,40%,547,218,7015,2514,54,1347,0,3100
SEA,IAH,UA,6,43%,994,429,13152,4391,0,2597,0,6164
SEA,LAX,UA,6,68%,34,23,937,161,0,53,0,723
SEA,ORD,UA,6,41%,1015,413,14607,3417,0,3066,0,8124
SEA,SFO,UA,6,41%,1370,562,23316,4870,0,7953,0,10493
SFO,ATL,UA,6,55%,172,94,2336,1143,42,501,0,650
SFO,BOS,UA,6,48%,1291,618,19872,6339,269,3488,0,9776
SFO,BWI,UA,6,57%,231,132,5628,1424,0,1018,0,3186
SFO,DCA,UA,6,66%,150,99,3566,1145,0,804,0,1617
SFO,DEN,UA,6,42%,1798,762,26192,7778,58,3794,9,14553
SFO,DFW,UA,6,37%,240,89,2851,1395,0,509,0,947
SFO,EWR,UA,6,50%,2239,1117,42209,16702,126,9313,0,16068
SFO,FLL,UA,6,39%,120,47,1802,560,0,186,0,1056
SFO,HNL,UA,6,41%,894,363,16926,8562,0,1372,0,6992
SFO,IAD,UA,6,51%,1606,822,27181,10560,158,5016,5,11442
SFO,IAH,UA,6,47%,1557,728,20118,9224,42,3795,0,7057
SFO,JFK,UA,6,45%,1039,465,19172,5408,181,9748,0,3835
SFO,LAS,UA,6,39%,1275,500,18075,6518,0,1519,0,10038
SFO,LAX,UA,6,54%,2355,1274,37419,10927,37,7292,0,19163
SFO,MCO,UA,6,45%,421,191,8454,2847,0,833,0,4774
SFO,MSP,UA,6,53%,167,88,2538,885,0,391,0,1262
SFO,ORD,UA,6,48%,2711,1312,44629,16523,296,8893,0,18917
SFO,PDX,UA,6,44%,888,392,13807,5799,128,771,0,7109
SFO,PHL,UA,6,47%,477,224,8403,2767,0,2454,0,3182
SFO,PHX,UA,6,37%,379,142,5667,2421,0,430,0,2816
SFO,SAN,UA,6,41%,1065,439,14924,5587,86,845,0,8406
SFO,SEA,UA,6,50%,1349,674,23380,8807,29,2760,0,11784
SFO,SLC,UA,6,51%,39,20,472,110,0,34,0,328
SLC,DEN,UA,6,29%,65,19,1475,331,0,351,0,793
SLC,IAD,UA,6,29%,87,25,1135,1063,0,72,0,0
SLC,IAH,UA,6,30%,169,51,1602,243,0,158,0,1201
SLC,ORD,UA,6,45%,110,49,2149,620,0,621,0,908
SLC,SFO,UA,6,27%,11,3,68,9,0,30,0,29
TPA,DEN,UA,6,28%,251,70,2358,684,25,318,0,1331
TPA,EWR,UA,6,40%,777,308,13938,1900,833,5293,0,5912
TPA,IAD,UA,6,36%,530,191,7916,2330,372,1637,0,3577
TPA,IAH,UA,6,32%,722,234,9040,1489,429,2230,0,4892
TPA,ORD,UA,6,37%,539,202,7287,1307,216,3068,0,2696
ATL,DEN,UA,5,29%,172,50,1297,315,52,392,0,538
ATL,EWR,UA,5,36%,354,126,5217,1519,97,2034,0,1567
ATL,IAD,UA,5,56%,32,18,334,50,0,102,0,182
ATL,IAH,UA,5,29%,146,43,1749,483,48,404,0,814
ATL,ORD,UA,5,36%,318,115,3920,576,462,1137,0,1745
ATL,SFO,UA,5,48%,181,87,2937,1171,132,599,0,1035
BOS,DEN,UA,5,34%,625,214,6591,1814,32,1351,0,3394
BOS,EWR,UA,5,36%,1407,504,18997,2744,71,8626,0,7556
BOS,IAD,UA,5,34%,771,264,9992,2200,6,1315,0,6471
BOS,IAH,UA,5,31%,753,236,6512,2254,45,2105,0,2108
BOS,LAX,UA,5,35%,319,112,3405,501,24,863,0,2017
BOS,ORD,UA,5,32%,1198,385,14702,2848,67,5314,0,6473
BOS,SFO,UA,5,33%,1205,393,13289,3059,80,3933,0,6217
BWI,DEN,UA,5,27%,420,112,4065,1421,309,879,33,1423
BWI,IAH,UA,5,28%,431,120,4274,1151,177,1019,0,1927
BWI,LAX,UA,5,34%,229,77,3075,309,328,884,0,1554
BWI,ORD,UA,5,32%,565,180,6303,833,230,2788,0,2452
BWI,SFO,UA,5,16%,186,30,664,436,38,190,0,0
CLT,DEN,UA,5,31%,32,10,219,44,28,131,0,16
CLT,EWR,UA,5,24%,29,7,109,90,0,19,0,0
CLT,IAH,UA,5,4%,23,1,0,0,0,0,0,0
CLT,ORD,UA,5,41%,194,79,3614,1097,0,1203,0,1314
DCA,DEN,UA,5,39%,185,72,2668,643,245,797,0,983
DCA,IAH,UA,5,34%,1050,362,12832,3331,599,3622,21,5259
DCA,ORD,UA,5,35%,1899,668,31369,5730,1679,12302,11,11647
DCA,SFO,UA,5,25%,141,35,887,500,0,256,0,131
DEN,ATL,UA,5,32%,153,49,846,160,0,216,0,470
DEN,BOS,UA,5,46%,633,290,11767,2698,261,4704,0,4104
DEN,BWI,UA,5,50%,422,209,5481,1546,131,1314,0,2490
DEN,CLT,UA,5,22%,32,7,149,33,20,53,0,43
DEN,DCA,UA,5,40%,185,74,1476,496,31,531,0,418
DEN,DFW,UA,5,40%,414,165,5025,1263,141,1736,19,1866
DEN,DTW,UA,5,20%,79,16,348,45,0,3,0,300
DEN,EWR,UA,5,41%,907,376,11975,2069,482,5739,0,3685
DEN,FLL,UA,5,28%,155,44,729,213,14,270,0,232
DEN,HNL,UA,5,32%,186,59,1560,338,164,483,0,575
DEN,IAD,UA,5,38%,1296,494,12799,2394,839,5291,15,4260
DEN,IAH,UA,5,41%,1688,691,23448,6227,1057,6996,0,9168
DEN,LAS,UA,5,28%,878,248,7140,1904,276,1365,41,3554
DEN,LAX,UA,5,38%,1427,543,13713,4828,786,2234,42,5823
DEN,LGA,UA,5,47%,894,422,16365,2384,498,9539,0,3944
DEN,MCO,UA,5,36%,610,221,5714,947,214,1685,0,2868
DEN,MIA,UA,5,14%,7,1,0,0,0,0,0,0
DEN,MSP,UA,5,32%,372,120,3759,879,237,555,28,2060
DEN,ORD,UA,5,43%,1701,739,24749,6126,820,8533,0,9270
DEN,PDX,UA,5,27%,623,166,4592,1425,398,250,0,2519
DEN,PHL,UA,5,39%,325,126,3559,698,99,1284,0,1478
DEN,PHX,UA,5,34%,668,230,6050,2113,304,809,0,2824
DEN,SAN,UA,5,31%,584,181,5467,1427,495,660,14,2871
DEN,SEA,UA,5,34%,815,276,7233,2270,382,480,23,4078
DEN,SFO,UA,5,37%,1837,684,20737,4497,536,8954,30,6720
DEN,SLC,UA,5,44%,64,28,560,279,0,59,0,222
DEN,TPA,UA,5,40%,224,89,2245,749,118,469,0,909
DFW,DEN,UA,5,32%,427,137,6905,1344,467,1221,0,3873
DFW,EWR,UA,5,49%,366,178,8407,809,308,5794,0,1496
DFW,IAD,UA,5,38%,198,75,3729,620,244,728,0,2137
DFW,IAH,UA,5,30%,292,88,5573,1837,978,2138,0,620
DFW,LAX,UA,5,25%,4,1,0,0,0,0,0,0
DFW,ORD,UA,5,38%,313,118,7132,1931,410,2135,0,2656
DFW,SFO,UA,5,39%,194,75,4086,1334,254,958,0,1540
DTW,DEN,UA,5,37%,73,27,780,447,0,203,0,130
DTW,IAH,UA,5,24%,168,41,1937,507,0,372,0,1058
DTW,ORD,UA,5,37%,159,59,2953,1136,0,1232,0,585
EWR,ATL,UA,5,28%,358,102,3888,1280,168,729,0,1711
EWR,BOS,UA,5,38%,1390,523,20118,7038,444,5316,52,7268
EWR,CLT,UA,5,48%,27,13,650,214,6,99,0,331
EWR,DEN,UA,5,31%,924,291,9784,3415,1171,2587,41,2570
EWR,DFW,UA,5,29%,447,131,4546,994,240,1002,0,2310
EWR,FLL,UA,5,33%,902,302,10219,3005,249,3273,49,3643
EWR,HNL,UA,5,34%,155,53,975,342,33,415,0,185
EWR,IAD,UA,5,38%,39,15,343,104,0,196,0,43
EWR,IAH,UA,5,34%,1623,549,19249,6358,1649,5071,71,6100
EWR,LAS,UA,5,28%,925,262,9759,2843,640,2071,0,4205
EWR,LAX,UA,5,35%,1688,595,21252,7489,1041,4557,44,8121
EWR,MCO,UA,5,30%,1298,390,10644,4241,266,2340,52,3745
EWR,MIA,UA,5,35%,693,245,9257,3066,694,2327,0,3170
EWR,MSP,UA,5,0%,2,0,0,0,0,0,0,0
EWR,ORD,UA,5,38%,1663,637,28631,6114,1850,10722,0,9945
EWR,PDX,UA,5,36%,181,66,2640,674,145,709,0,1112
EWR,PHX,UA,5,25%,456,113,3878,1567,120,873,16,1302
EWR,SAN,UA,5,27%,441,118,4092,1520,90,852,0,1630
EWR,SEA,UA,5,40%,456,181,5359,1576,466,2065,0,1252
EWR,SFO,UA,5,38%,1959,745,26877,9434,1980,7510,0,7953
EWR,TPA,UA,5,33%,892,291,10483,3195,604,2537,95,4052
FLL,DEN,UA,5,21%,153,32,1801,79,207,331,0,1184
FLL,EWR,UA,5,35%,904,316,14495,2035,213,8520,0,3727
FLL,IAD,UA,5,60%,42,25,701,32,5,109,0,555
FLL,IAH,UA,5,31%,726,228,8478,1380,388,3256,0,3454
FLL,ORD,UA,5,26%,203,53,1470,234,99,315,0,822
FLL,SFO,UA,5,31%,124,38,1214,483,61,329,0,341
HNL,DEN,UA,5,23%,186,42,499,101,0,152,0,246
HNL,EWR,UA,5,32%,155,50,482,208,0,156,6,112
HNL,IAD,UA,5,18%,85,15,61,54,0,7,0,0
HNL,IAH,UA,5,37%,155,57,1772,646,84,128,0,914
HNL,LAX,UA,5,32%,817,259,7483,3387,15,742,0,3339
HNL,ORD,UA,5,56%,186,104,1855,1321,0,277,0,257
HNL,SFO,UA,5,32%,785,254,7395,3630,0,789,0,2976
IAD,ATL,UA,5,100%,1,1,15,14,0,1,0,0
IAD,BOS,UA,5,37%,683,253,13180,2997,489,4816,0,4878
IAD,DEN,UA,5,32%,1400,454,16163,4554,1146,5017,0,5446
IAD,DFW,UA,5,32%,116,37,1638,361,117,565,0,595
IAD,EWR,UA,5,55%,40,22,801,6,14,594,0,187
IAD,FLL,UA,5,45%,42,19,450,63,0,176,0,211
IAD,HNL,UA,5,26%,84,22,512,393,0,119,0,0
IAD,IAH,UA,5,39%,513,202,7636,3501,215,2486,0,1434
IAD,LAS,UA,5,26%,381,100,5317,1652,456,927,0,2282
IAD,LAX,UA,5,33%,1407,471,16892,5825,1458,5395,0,4214
IAD,MCO,UA,5,38%,755,287,10683,3970,317,1999,0,4397
IAD,MIA,UA,5,60%,10,6,140,51,0,54,0,35
IAD,MSP,UA,5,0%,1,0,0,0,0,0,0,0
IAD,ORD,UA,5,34%,1091,371,15500,3511,1381,6255,0,4353
IAD,PDX,UA,5,40%,186,74,3142,513,436,702,0,1491
IAD,PHX,UA,5,42%,187,78,3812,842,376,1208,14,1372
IAD,SAN,UA,5,26%,543,139,7449,2439,733,2228,0,2049
IAD,SEA,UA,5,28%,534,149,5011,1468,196,1515,0,1832
IAD,SFO,UA,5,29%,1739,507,20848,6093,1399,7021,47,6288
IAD,SLC,UA,5,46%,80,37,2412,510,186,1111,0,605
IAD,TPA,UA,5,35%,547,194,7211,2124,789,1745,0,2553
IAH,ATL,UA,5,40%,178,71,2577,1024,33,675,0,845
IAH,BOS,UA,5,42%,763,321,10354,2398,955,3028,0,3973
IAH,BWI,UA,5,34%,423,144,3577,1065,169,987,0,1356
IAH,CLT,UA,5,33%,27,9,562,238,64,71,0,189
IAH,DCA,UA,5,37%,1050,388,12928,3467,757,3598,4,5102
IAH,DEN,UA,5,40%,1606,650,22730,6487,2055,5283,19,8886
IAH,DFW,UA,5,49%,186,91,5727,1631,1374,967,0,1755
IAH,DTW,UA,5,28%,149,42,1084,678,37,245,0,124
IAH,EWR,UA,5,47%,1572,738,23811,6188,2323,9014,14,6272
IAH,FLL,UA,5,35%,729,258,9374,2224,633,2624,0,3893
IAH,HNL,UA,5,54%,155,84,2896,1641,109,827,0,319
IAH,IAD,UA,5,41%,625,258,6974,2490,393,2176,4,1911
IAH,LAS,UA,5,32%,1169,378,12973,3871,1292,2663,0,5147
IAH,LAX,UA,5,44%,1821,795,26089,9257,2376,4753,9,9694
IAH,LGA,UA,5,42%,1166,486,20368,2904,370,13121,0,3973
IAH,MCO,UA,5,37%,1001,371,11124,3959,633,2383,0,4149
IAH,MIA,UA,5,32%,536,172,6092,2164,777,1605,0,1546
IAH,MSP,UA,5,36%,78,28,1565,460,110,175,0,820
IAH,ORD,UA,5,43%,1833,781,27521,7349,2941,10533,96,6602
IAH,PDX,UA,5,33%,417,139,5468,1858,412,905,0,2293
IAH,PHL,UA,5,43%,535,232,8317,1990,410,2813,0,3104
IAH,PHX,UA,5,33%,715,239,7753,2857,779,1246,0,2871
IAH,SAN,UA,5,34%,815,274,8283,2776,886,1031,0,3590
IAH,SEA,UA,5,37%,867,319,11333,4036,1375,2239,0,3683
IAH,SFO,UA,5,44%,1496,657,24386,6984,2092,7702,0,7608
IAH,SLC,UA,5,33%,123,41,1126,468,31,134,0,493
IAH,TPA,UA,5,34%,739,253,7706,1751,712,1802,0,3441
JFK,LAX,UA,5,28%,879,249,8581,2154,280,3057,25,3065
JFK,SFO,UA,5,29%,1063,312,12851,3781,553,5578,0,2939
LAS,DEN,UA,5,28%,891,250,8737,1816,114,1970,0,4837
LAS,EWR,UA,5,35%,927,327,11062,2096,92,5177,0,3697
LAS,IAD,UA,5,35%,406,144,3293,834,3,1300,0,1156
LAS,IAH,UA,5,32%,1172,370,11104,3759,155,2688,0,4502
LAS,LAX,UA,5,41%,430,177,4003,808,33,1271,0,1891
LAS,ORD,UA,5,34%,976,328,10230,2402,299,2952,0,4577
LAS,SFO,UA,5,40%,1219,483,19542,2248,50,9618,0,7626
LAX,BOS,UA,5,36%,325,116,2551,906,0,967,0,678
LAX,BWI,UA,5,41%,239,97,2351,895,30,548,0,878
LAX,DEN,UA,5,36%,1375,491,13000,4435,0,2199,25,6341
LAX,DFW,UA,5,40%,5,2,44,7,0,0,0,37
LAX,EWR,UA,5,41%,1690,693,19636,7052,0,7768,0,4816
LAX,HNL,UA,5,42%,817,344,14946,7276,0,1426,0,6244
LAX,IAD,UA,5,38%,1323,504,14596,5785,113,3623,0,5075
LAX,IAH,UA,5,40%,1798,728,16895,6007,0,4466,0,6422
LAX,JFK,UA,5,37%,878,328,10121,1968,25,6861,0,1267
LAX,LAS,UA,5,33%,467,153,4115,1361,0,730,0,2024
LAX,MCO,UA,5,36%,217,78,2533,1100,0,451,0,982
LAX,MSP,UA,5,0%,1,0,0,0,0,0,0,0
LAX,ORD,UA,5,43%,2032,864,24160,8738,0,6429,0,8993
LAX,PHL,UA,5,37%,57,21,536,174,0,336,0,26
LAX,PHX,UA,5,14%,65,9,176,30,0,0,0,146
LAX,SEA,UA,5,34%,32,11,439,31,0,2,0,406
LAX,SFO,UA,5,42%,2320,977,30597,5493,0,13500,0,11604
LAX,SLC,UA,5,100%,1,1,0,0,0,0,0,0
LGA,DEN,UA,5,29%,828,240,7910,2243,351,2714,0,2602
LGA,IAH,UA,5,29%,1151,339,12277,2416,351,3661,0,5849
LGA,ORD,UA,5,33%,2110,697,34235,3516,501,13041,0,17177
